Group,Ind,P1,P2,P3
1,CB0421,1.00E-04,1.00E-04,0.9998
1,CB0422,0.0781679,0.130554,0.791278
1,CB0425,0.107632,0.17451,0.717858
1,CB0430,0.0193667,0.0207344,0.959899
1,CB0431,0.116944,0.179389,0.703668
1,CB0432,1.00E-04,1.00E-04,0.9998
1,CB0433,0.0927472,0.150582,0.756671
1,CB0434,1.00E-04,0.0213031,0.978597
1,CB0435,0.0873418,0.133912,0.778746
1,CB0436,1.00E-04,1.00E-04,0.9998
1,CB0437,0.0961504,0.157008,0.746842
1,CB0438,0.045125,0.0980523,0.856823
1,CB0439,0.00472154,0.0412218,0.954057
1,CB0442,1.00E-04,1.00E-04,0.9998
1,CB0444,0.0118851,0.0548298,0.933285
1,CB0445,0.0890513,0.128308,0.782641
1,CB0446,0.0413274,0.111872,0.8468
1,CB0447,1.00E-04,0.00714606,0.992754
1,CB0449,0.0609697,0.10545,0.83358
1,CB0450,1.00E-04,1.00E-04,0.9998
2,CB0451,0.407807,0.119409,0.472784
2,CB0452,0.623724,0.0975364,0.27874
2,CB0453,0.242432,0.167943,0.589625
2,CB0454,0.191211,0.161921,0.646868
2,CB0455,0.35501,0.154078,0.490912
2,CB0456,0.930249,0.027244,0.0425066
2,CB0457,0.376707,0.135549,0.487744
2,CB0458,0.9998,1.00E-04,1.00E-04
2,CB0459,0.662833,0.0752773,0.26189
2,CB0460,0.302519,0.11928,0.578201
2,CB0461,0.350556,0.129915,0.519529
2,CB0462,0.372574,0.145033,0.482393
2,CB0463,0.923568,0.0110965,0.0653355
2,CB0464,0.9998,1.00E-04,1.00E-04
2,CB0465,0.47711,0.121701,0.401189
2,CB0466,0.497696,0.118661,0.383643
2,CB0468,0.9998,1.00E-04,1.00E-04
3,CB0481,0.122762,0.173412,0.703826
3,CB0482,0.158775,0.143672,0.697553
3,CB0483,0.12552,0.188192,0.686287
3,CB0485,0.20544,0.153881,0.640679
3,CB0486,0.117209,0.194809,0.687982
3,CB0487,0.183216,0.161243,0.655541
3,CB0488,0.140391,0.160398,0.699212
3,CB0489,0.211882,0.111308,0.67681
3,CB0490,0.13917,0.16772,0.69311
3,CB0491,0.121719,0.204737,0.673543
3,CB0492,0.27787,0.0418068,0.680323
4,CB0516,0.113525,0.186424,0.700052
4,CB0517,0.112536,0.17653,0.710933
4,CB0518,0.0693492,0.0924506,0.8382
4,CB0519,1.00E-04,1.00E-04,0.9998
4,CB0520,0.0911637,0.142717,0.766119
5,CB0543,0.118262,0.182016,0.699722
5,CB0544,0.108113,0.180042,0.711845
5,CB0545,0.0723955,0.103201,0.824404
5,CB0546,0.114264,0.188718,0.697018
5,CB0547,0.0986196,0.148005,0.753376
5,CB0548,1.00E-04,0.0760219,0.923878
5,CB0549,1.00E-04,1.00E-04,0.9998
5,CB0550,0.0173849,0.0546013,0.928014
5,CB0551,0.027893,0.0807234,0.891384
5,CB0552,0.0904446,0.131028,0.778527
5,CB0553,0.0869107,0.16307,0.750019
5,CB0554,0.009832,0.0675926,0.922575
5,CB0555,1.00E-04,0.0336021,0.966298
5,CB0556,0.0874328,0.147961,0.764607
5,CB0557,0.06634,0.0872711,0.846389
5,CB0559,0.0426654,0.111004,0.846331
5,CB0561,1.00E-04,0.0189084,0.980992
6,CB0573,1.00E-04,0.9998,1.00E-04
6,CB0574,0.0380716,0.877165,0.0847632
6,CB0576,0.0533933,0.772984,0.173622
6,CB0577,0.108787,0.294731,0.596482
6,CB0578,0.0789143,0.537709,0.383376
6,CB0579,0.0628236,0.602655,0.334521
6,CB0584,0.0767398,0.490212,0.433048
6,CB0586,0.11022,0.276537,0.613243
6,CB0588,0.106423,0.259824,0.633753
6,CB0589,1.00E-04,0.9998,1.00E-04
6,CB0590,0.0966674,0.46568,0.437653
6,CB0591,0.113598,0.247766,0.638636
6,CB0593,1.00E-04,0.9998,1.00E-04
6,CB0598,1.00E-04,0.9998,1.00E-04
7,CB0603,0.0545264,0.434459,0.511014
7,CB0605,0.0963381,0.248193,0.655469
7,CB0607,0.0773277,0.344661,0.578011
7,CB0608,1.00E-04,0.675468,0.324432
